#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.20165  0.12783 -0.05898 -0.99327  0.000560  0.000225  0.002740     2.493
   1.21458  0.14068 -0.06044 -0.99768  0.000592  0.000237  0.002608     2.492
   1.22870  0.15472 -0.06191 -1.00235  0.000623  0.000250  0.002503     2.487
   1.24397  0.16992 -0.06337 -1.00829  0.000648  0.000262  0.002467     2.469
   1.26022  0.18610 -0.06485 -1.01602  0.000666  0.000273  0.002486     2.442
   1.27716  0.20298 -0.06632 -1.03138  0.000650  0.000276  0.002827     2.353
   1.29449  0.22026 -0.06761 -1.04473  0.000666  0.000283  0.002803     2.350
   1.31217  0.23791 -0.06864 -1.05284  0.000707  0.000295  0.002539     2.398
   1.33018  0.25590 -0.06943 -1.05804  0.000751  0.000308  0.002301     2.440
   1.34851  0.27423 -0.06997 -1.06142  0.000795  0.000321  0.002109     2.473
   1.36716  0.29287 -0.07028 -1.06334  0.000839  0.000335  0.001941     2.502
   1.38609  0.31181 -0.07037 -1.06421  0.000884  0.000350  0.001796     2.526
   1.40530  0.33101 -0.07025 -1.06419  0.000929  0.000364  0.001664     2.550
   1.42476  0.35047 -0.06992 -1.06352  0.000975  0.000379  0.001547     2.571
   1.44445  0.37016 -0.06941 -1.06220  0.001023  0.000395  0.001437     2.593
   1.46436  0.39006 -0.06871 -1.06043  0.001072  0.000410  0.001337     2.614
   1.48448  0.41015 -0.06783 -1.05827  0.001121  0.000425  0.001244     2.635
   1.50478  0.43043 -0.06680 -1.05570  0.001173  0.000441  0.001155     2.658
   1.52526  0.45087 -0.06561 -1.05293  0.001224  0.000457  0.001076     2.679
   1.54590  0.47147 -0.06428 -1.04992  0.001277  0.000473  0.001001     2.701
   1.56668  0.49220 -0.06281 -1.04667  0.001333  0.000489  0.000928     2.725
   1.58760  0.51305 -0.06121 -1.04329  0.001389  0.000505  0.000862     2.749
   1.60864  0.53402 -0.05949 -1.03981  0.001445  0.000521  0.000801     2.772
   1.62979  0.55509 -0.05766 -1.03616  0.001506  0.000538  0.000739     2.799
   1.65104  0.57626 -0.05573 -1.03244  0.001567  0.000554  0.000683     2.826
   1.67238  0.59750 -0.05370 -1.02865  0.001630  0.000571  0.000629     2.854
   1.69380  0.61881 -0.05157 -1.02477  0.001696  0.000588  0.000576     2.886
   1.71528  0.64018 -0.04936 -1.02082  0.001766  0.000605  0.000524     2.920
   1.73683  0.66160 -0.04706 -1.01681  0.001839  0.000622  0.000473     2.958
   1.75841  0.68306 -0.04469 -1.01272  0.001919  0.000639  0.000422     3.002
   1.78003  0.70454 -0.04225 -1.00856  0.002005  0.000657  0.000371     3.052
   1.80167  0.72604 -0.03974 -1.00436  0.002099  0.000675  0.000318     3.111
   1.82331  0.74752 -0.03716 -1.00010  0.002205  0.000693  0.000264     3.183
   1.84493  0.76898 -0.03452 -0.99585  0.002324  0.000711  0.000209     3.269
   1.86650  0.79037 -0.03183 -0.99167  0.002458  0.000729  0.000153     3.372
   1.88797  0.81167 -0.02909 -0.98762  0.002609  0.000747  0.000100     3.495
   1.90928  0.83280 -0.02630 -0.98382  0.002774  0.000764  0.000052     3.632
   1.93036  0.85369 -0.02349 -0.98032  0.002945  0.000780  0.000012     3.777
   1.95108  0.87422 -0.02066 -0.97713  0.003105  0.000795 -0.000016     3.908
   1.97129  0.89423 -0.01785 -0.97423  0.003223  0.000809 -0.000029     3.986
   1.99077  0.91351 -0.01508 -0.97159  0.003242  0.000822 -0.000022     3.946
   2.00931  0.93185 -0.01239 -0.95312  0.003016  0.000916  0.000145     3.294
   2.02667  0.94903 -0.00982 -0.92526  0.002674  0.001062  0.000602     2.517
   2.04267  0.96485 -0.00741 -0.90549  0.002470  0.001175  0.001141     2.103
   2.05722  0.97923 -0.00518 -0.88930  0.002426  0.001275  0.001505     1.903
   2.07031  0.99215 -0.00314 -0.87053  0.002555  0.001398  0.001597     1.828
   2.07826  1.00000 -0.00189 -0.86269  0.002590  0.001456  0.001684     1.779
   2.07826  1.00010 -0.00000  0.86269  0.020991  0.007675  0.000000     2.735
   2.08620  1.00803 -0.00037  0.85309  0.019642  0.008078  0.000000     2.431
   2.09537  1.01720 -0.00071  0.85581  0.017843  0.007968  0.000000     2.239
   2.10595  1.02778 -0.00106  0.86114  0.016056  0.007765  0.000000     2.068
   2.11818  1.04000 -0.00141  0.86863  0.014362  0.007501  0.000000     1.915
   2.13229  1.05410 -0.00176  0.87797  0.012821  0.007199  0.000000     1.781
   2.14859  1.07040 -0.00212  0.88856  0.011470  0.006884  0.000000     1.666
   2.16740  1.08921 -0.00246  0.89969  0.010319  0.006581  0.000000     1.568
   2.18913  1.11093 -0.00277  0.91072  0.009358  0.006304  0.000000     1.484
   2.21421  1.13601 -0.00305  0.92120  0.008563  0.006060  0.000000     1.413
   2.24317  1.16497 -0.00327  0.93089  0.007905  0.005850  0.000000     1.351
   2.27660  1.19840 -0.00341  0.93969  0.007358  0.005670  0.000000     1.298
   2.31521  1.23701 -0.00343  0.94762  0.006902  0.005516  0.000000     1.251
   2.35978  1.28158 -0.00328  0.95472  0.006520  0.005384  0.000000     1.211
   2.41125  1.33305 -0.00293  0.96106  0.006200  0.005272  0.000000     1.176
   2.47067  1.39246 -0.00231  0.96668  0.005932  0.005175  0.000000     1.146
   2.53928  1.46107 -0.00135  0.97166  0.005708  0.005093  0.000000     1.121
   2.61849  1.54027  0.00006  0.97604  0.005522  0.005022  0.000000     1.100
   2.70995  1.63171  0.00201  0.97986  0.005369  0.004962  0.000000     1.082
   2.81555  1.73728  0.00464  0.98318  0.005243  0.004910  0.000000     1.068
   2.93748  1.85915  0.00809  0.98603  0.005140  0.004867  0.000000     1.056
   3.07826  1.99986  0.01256  0.98870  0.005053  0.004827  0.000000     1.047
